Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1519725,The Shattered Mind,Howard Gardner,"Gardner, Howard",,"=""0394719468""","=""9780394719467""",3,4.04,Vintage,Paperback,481,1976,1975,2023/12/18,2023/10/09,,,read,,,,1,0
11341656,Human Nature in Light of Psychopathology,Kurt Goldstein,"Goldstein, Kurt",,"=""0805200606""","=""9780805200607""",0,4.25,"Schocken, NY",Paperback,272,1940,1940,,2023/12/17,to-read,to-read (#719),to-read,,,,0,0
376457,The Organism,Kurt Goldstein,"Goldstein, Kurt",,"=""0942299973""","=""9780942299977""",0,3.81,Zone Books,Paperback,424,2000,1939,,2023/12/17,to-read,to-read (#718),to-read,,,,0,0
23143772,The Reach of Mind: Essays in Memory of Kurt Goldstein,Kurt Goldstein,"Goldstein, Kurt",Marianne L. Simmel,"=""3662392496""","=""9783662392492""",0,4.00,Springer,Paperback,312,1968,1968,,2023/12/17,to-read,to-read (#717),to-read,,,,0,0
34667,The Man with a Shattered World: The History of a Brain Wound,Alexander R. Luria,"Luria, Alexander R.","Oliver Sacks, Lynn Solotaroff","=""0674546253""","=""9780674546257""",0,4.09,Harvard University Press,Paperback,187,1987,1971,,2023/12/17,to-read,to-read (#716),to-read,,,,0,0
126674251,Recovery with Aphasia: Aftermath of My Stroke by C.Scott Moss (1974-02-03),C. Scott Moss,"Moss, C. Scott",,"=""""","=""""",0,0.0,University of Illinois Press,Hardcover,0,,1972,,2023/12/17,to-read,to-read (#715),to-read,,,,0,0
26662448,Ants and Some Other Insects; An Inquiry Into the Psychic Powers of These Animals,Auguste Forel,"Forel, Auguste",William Morton Wheeler,"=""""","=""""",0,3.33,,Hardcover,56,,2007,,2023/12/17,to-read,to-read (#714),to-read,,,,0,0
45282043,Pity the Reader: On Writing With Style,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Suzanne McConnell,"=""1609809629""","=""9781609809621""",0,3.95,Seven Stories Press,Hardcover,432,2019,2019,,2023/12/16,to-read,to-read (#713),to-read,,,,0,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",4,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,2023/12/16,2023/12/16,,,read,,,,1,0
319290,Letters on Life,Rainer Maria Rilke,"Rilke, Rainer Maria",Ulrich Baer,"=""0812969022""","=""9780812969023""",0,4.27,Random House Publishing Group,Paperback,272,2006,2005,,2023/12/15,to-read,to-read (#712),to-read,,,,0,0
125499,A Plea for Eros: Essays,Siri Hustvedt,"Hustvedt, Siri",,"=""0312425538""","=""9780312425531""",0,3.74,Picador,Paperback,240,2005,2005,,2023/12/15,to-read,to-read (#711),to-read,,,,0,0
13167267,"Living, Thinking, Looking: Essays",Siri Hustvedt,"Hustvedt, Siri",,"=""1250009529""","=""9781250009524""",0,3.91,Picador,Paperback,384,2012,2012,,2023/12/15,to-read,to-read (#710),to-read,,,,0,0
17262198,Levels of Life,Julian Barnes,"Barnes, Julian",,"=""0385350775""","=""9780385350778""",0,3.91,Knopf,Hardcover,128,2013,2013,,2023/12/15,to-read,to-read (#709),to-read,,,,0,0
