Movie,Year,Plex Status,Source,IMDB ID,TMDB ID,Collections,Tags,Posters,,Matt,Gabe,Griffin,Dan,Andrew,Ice,Image
Alvin and the Chipmunks: The Squeakquel,2009,,,tt1231580,23398,Family|Music,,,,,,,,,,
Amadeus,1984,Yes,,tt0086879,279,Biopic|Music,,,,,,,,,,
Amazon Women on the Moon,1987,****Request,,tt0092546,5709,SciFi|Comedy,,,,,,,,,,
Ambulance,2022,Yes,,tt4998632,763285,Action|Heist,,,,,,,,,,
Amelie,2001,**Request,,tt0211915,194,RomCom,French,,,,,,,,,
American Animals,2018,****Request,,tt6212478,489931,Heist,,,,,,,,,,
American Beauty,1999,Yes,,tt0169547,14,Drama,,,,,,,,,,
American Gangster,2007,,,tt0765429,4982,Crime,,,,,,,,,,
American Graffiti,1973,,,tt0069704,838,Dramedy,,,,,,,,,,
American History X,1998,Yes,,tt0120586,73,Crime,,1990s,,,,,,,,
American Honey,2016,**Request,,tt3721936,340485,Drama,,,,,,,,,,
American Hustle,2013,*Request,,tt1800241,168672,Crime,,,,,,,,,,
American Mary,2012,Yes,,tt1959332,126277,Horror,,,,,,,,,,
American Pie,1999,**Request,,tt0163651,2105,Comedy,,,,,,,,,,
American Pie 2,2001,,,tt0252866,2770,Comedy,,,,,,,,,,
American Pie Presents: Band Camp,2005,,,tt0436058,8274,Comedy,,,,,,,,,,
American Pie Presents: Beta House,2007,,,tt0974959,8277,Comedy,,,,,,,,,,
American Pie Presents: Girls' Rules,2020,,,tt11771594,660982,Comedy,,,,,,,,,,
American Pie Presents: The Book of Love,2009,,,tt1407050,26123,Comedy,,,,,,,,,,
American Pie Presents: The Naked Mile,2006,,,tt0808146,8275,Comedy,,,,,,,,,,
American Psycho,2000,Yes,,tt0144084,1359,Thriller|Crime|Finance,,,,,,,,,,
American Reunion,2012,,,tt1605630,71552,Comedy,,,,,,,,,,
American Sniper,2014,Yes,,tt2179136,190859,War,,,,,,,,,,
American Splendor,2003,**Request,,tt0305206,2771,Biopic|Dramedy,,,,,,,,,,
